id,standard,title,description,slug,category,tags,organization,scope,key_procedures,applicable_materials,related_topics,official_url,purchase_url,related_standard_ids,related_guide_slugs,status,featured,sort_order,view_count,save_count,created_at,updated_at
01342bd9-1e35-4884-898b-a75fb58e715a,ASTM E1558,Standard Guide for Electrolytic Polishing of Metallographic Specimens,"Guide for electrolytic polishing of metallographic specimens. Includes procedures, equipment requirements, and safety considerations for electrolytic polishing.",astm-e1558,Preparation,"[""preparation"",""electrolytic-polishing"",""polishing"",""specimen""]",ASTM,,,,,,,,,published,false,26,0,0,2025-12-05 00:42:19.037728+00,2025-12-05 00:42:19.037728+00
04a641c6-eab8-4153-9ce1-e0174de111af,ASTM E1077,Standard Test Methods for Estimating the Depth of Decarburization of Steel Specimens,Test methods for estimating the depth of decarburization in steel specimens. Includes procedures for measurement and reporting of decarburization depth.,astm-e1077,Etching,"[""decarburization"",""steel"",""etching"",""depth-measurement""]",ASTM,,,,,,,,,published,false,31,0,0,2025-12-05 00:42:19.037728+00,2025-12-05 00:42:19.037728+00
0dcc4c05-57a6-4ab3-a67f-fde7fd0ba4ea,ASTM E1951,Standard Guide for Calibrating Reticles and Light Microscope Magnifications,Guide for calibrating microscope magnifications and reticles to ensure accurate measurements. Includes procedures for various calibration methods.,astm-e1951,Calibration,"[""calibration"",""microscope"",""magnification"",""reticles""]",ASTM,,,,,,,,,published,false,15,0,0,2025-12-05 00:41:19.263219+00,2025-12-05 00:41:19.263219+00
0dd8743b-3161-4f96-a32a-c8f6a680bca0,ASTM E340,Standard Practice for Macroetching Metals and Alloys,Practice for macroetching metals and alloys to reveal large-scale structural features. Includes reagent preparation and application methods.,astm-e340,Etching,"[""etching"",""macroetching"",""reagents""]",ASTM,,,,,,,,,published,false,17,0,0,2025-12-05 00:41:19.263219+00,2025-12-05 00:41:19.263219+00
20682cf3-6d7d-4311-ac3d-acdc828957cd,ASTM E1181,Standard Test Methods for Characterizing Duplex Grain Sizes,Methods for characterizing materials with duplex (bimodal) grain size distributions. Includes procedures for measurement and reporting.,astm-e1181,Analysis,"[""grain-size"",""duplex"",""bimodal"",""analysis""]",ASTM,,,,,,,,,published,false,14,0,0,2025-12-05 00:41:19.263219+00,2025-12-05 00:41:19.263219+00
2235bdf6-523e-4662-82b1-8ddde502f7c7,ASTM E384,Standard Test Method for Microindentation Hardness of Materials,"Test method for determining microindentation hardness using Knoop and Vickers indenters. Covers test procedures, equipment calibration, and reporting requirements.",astm-e384,Testing,"[""hardness"",""microindentation"",""knoop"",""vickers"",""testing""]",ASTM,,,,,,,,,published,false,5,0,0,2025-12-05 00:41:19.263219+00,2025-12-05 00:41:19.263219+00
253b4e37-591e-4093-98bd-079d40a7b93c,ASTM E45,Standard Test Methods for Determining the Inclusion Content of Steel,Methods for determining the inclusion content of steel using comparison charts and image analysis. Covers rating procedures and reporting.,astm-e45,Analysis,"[""inclusions"",""steel"",""analysis"",""rating""]",ASTM,,,,,,,,,published,false,11,0,0,2025-12-05 00:41:19.263219+00,2025-12-05 00:41:19.263219+00
2971abc4-b726-40cb-bd35-44dbfc83ca6b,ASTM E766,Standard Practice for Calibrating the Magnification of a Scanning Electron Microscope,Practice for calibrating the magnification of scanning electron microscopes. Procedures for ensuring accurate magnification in SEM imaging.,astm-e766,Calibration,"[""calibration"",""sem"",""scanning-electron-microscope"",""magnification""]",ASTM,,,,,,,,,published,false,33,0,0,2025-12-05 00:42:19.037728+00,2025-12-05 00:42:19.037728+00
2fd9430f-e801-4915-881d-4e5d3b840b2a,ASTM E2567,Standard Test Method for Determining Nodularity and Nodule Count in Ductile Iron Using Image Analysis,Test method for determining nodularity and nodule count in ductile iron using image analysis. Procedures for quantifying graphite nodule characteristics.,astm-e2567,Analysis,"[""ductile-iron"",""nodularity"",""nodule-count"",""image-analysis"",""graphite""]",ASTM,,,,,,,,,published,false,25,0,0,2025-12-05 00:42:19.037728+00,2025-12-05 00:42:19.037728+00
34b6a076-4cca-4991-9dbd-c508b9087a0d,ASTM E1351,Standard Terminology Relating to Nondestructive Testing,Standard terminology for nondestructive testing methods. Comprehensive definitions of terms used in NDT and metallographic analysis.,astm-e1351,Reference,"[""terminology"",""nondestructive-testing"",""reference"",""definitions""]",ASTM,,,,,,,,,published,false,35,0,0,2025-12-05 00:42:19.037728+00,2025-12-05 00:42:19.037728+00
